"DateTime","Total Members"
"2020-03-24 20:00:00",737
"2020-03-25 20:00:00",738
"2020-03-26 20:00:00",740
"2020-03-27 20:00:00",760
"2020-03-28 20:00:00",807
"2020-03-29 20:00:00",805
"2020-03-30 20:00:00",832
"2020-03-31 20:00:00",817
"2020-04-01 20:00:00",803
"2020-04-02 20:00:00",812
"2020-04-03 20:00:00",806
"2020-04-04 20:00:00",819
"2020-04-05 20:00:00",804
"2020-04-06 20:00:00",862
"2020-04-07 20:00:00",858
"2020-04-08 20:00:00",850
"2020-04-09 20:00:00",848
"2020-04-10 20:00:00",849
"2020-04-11 20:00:00",882
"2020-04-12 20:00:00",1010
"2020-04-13 20:00:00",1031
"2020-04-14 20:00:00",1056
"2020-04-15 20:00:00",1077
"2020-04-16 20:00:00",1073
"2020-04-17 20:00:00",1085
"2020-04-18 20:00:00",1082
"2020-04-19 20:00:00",1073
"2020-04-20 20:00:00",1086
"2020-04-21 20:00:00",1077
"2020-04-22 20:00:00",1088
"2020-04-23 20:00:00",1089
"2020-04-24 20:00:00",1104
"2020-04-25 20:00:00",1115
"2020-04-26 20:00:00",1105
"2020-04-27 20:00:00",1122
"2020-04-28 20:00:00",1103
"2020-04-29 20:00:00",1103
"2020-04-30 20:00:00",1131
"2020-05-01 20:00:00",1116
"2020-05-02 20:00:00",1107
"2020-05-03 20:00:00",1091
"2020-05-04 20:00:00",1086
"2020-05-05 20:00:00",1077
"2020-05-06 20:00:00",1065
"2020-05-07 20:00:00",1059
"2020-05-08 20:00:00",1046
"2020-05-09 20:00:00",1038
"2020-05-10 20:00:00",1034
"2020-05-11 20:00:00",1025
"2020-05-12 20:00:00",1016
"2020-05-13 20:00:00",788
"2020-05-14 20:00:00",780
"2020-05-15 20:00:00",778
"2020-05-16 20:00:00",773
"2020-05-17 20:00:00",263
"2020-05-18 20:00:00",260
"2020-05-19 20:00:00",261
"2020-05-20 20:00:00",263
"2020-05-21 20:00:00",260
"2020-05-22 20:00:00",259
"2020-05-23 20:00:00",257
"2020-05-24 20:00:00",127
"2020-05-25 20:00:00",124
"2020-05-26 20:00:00",112
"2020-05-27 20:00:00",110
"2020-05-28 20:00:00",111
"2020-05-29 20:00:00",110
"2020-05-30 20:00:00",110
"2020-05-31 20:00:00",109
"2020-06-01 20:00:00",107
"2020-06-02 20:00:00",105
"2020-06-03 20:00:00",107
"2020-06-04 20:00:00",108
"2020-06-05 20:00:00",109
"2020-06-06 20:00:00",109
"2020-06-07 20:00:00",110
"2020-06-08 20:00:00",110
"2020-06-09 20:00:00",111
"2020-06-10 20:00:00",109
"2020-06-11 20:00:00",112
"2020-06-12 20:00:00",113
"2020-06-13 20:00:00",111
"2020-06-14 20:00:00",110
"2020-06-15 20:00:00",112
"2020-06-16 20:00:00",111
"2020-06-17 20:00:00",110
"2020-06-18 20:00:00",114
"2020-06-19 20:00:00",117
"2020-06-20 20:00:00",118
"2020-06-21 20:00:00",124
"2020-06-22 20:00:00",125
"2020-06-23 20:00:00",126
"2020-06-24 20:00:00",126
"2020-06-25 20:00:00",126
"2020-06-26 20:00:00",128
"2020-06-27 20:00:00",128
"2020-06-28 20:00:00",129
"2020-06-29 20:00:00",133
"2020-06-30 20:00:00",133
"2020-07-01 20:00:00",132
"2020-07-02 20:00:00",134
"2020-07-03 20:00:00",307
"2020-07-04 20:00:00",393
"2020-07-05 20:00:00",389
"2020-07-06 20:00:00",380
"2020-07-07 20:00:00",378
"2020-07-08 20:00:00",374
"2020-07-09 20:00:00",360
"2020-07-10 20:00:00",568
"2020-07-11 20:00:00",561
"2020-07-12 20:00:00",556
"2020-07-13 20:00:00",541
"2020-07-14 20:00:00",538
"2020-07-15 20:00:00",527
"2020-07-16 20:00:00",522
"2020-07-17 20:00:00",517
"2020-07-18 20:00:00",505
"2020-07-19 20:00:00",499
"2020-07-20 20:00:00",498
"2020-07-21 20:00:00",495
"2020-07-22 20:00:00",491
"2020-07-23 20:00:00",485
"2020-07-24 20:00:00",480
"2020-07-25 20:00:00",476
"2020-07-26 20:00:00",470
"2020-07-27 20:00:00",467
"2020-07-28 20:00:00",466
"2020-07-29 20:00:00",464
"2020-07-30 20:00:00",461
"2020-07-31 20:00:00",457
"2020-08-01 20:00:00",457
"2020-08-02 20:00:00",459
"2020-08-03 20:00:00",456
"2020-08-04 20:00:00",454
"2020-08-05 20:00:00",455
"2020-08-06 20:00:00",457
"2020-08-07 20:00:00",463
"2020-08-08 20:00:00",464
"2020-08-09 20:00:00",459
"2020-08-10 20:00:00",459
"2020-08-11 20:00:00",459
"2020-08-12 20:00:00",460
"2020-08-13 20:00:00",460
"2020-08-14 20:00:00",456
"2020-08-15 20:00:00",456
"2020-08-16 20:00:00",456
"2020-08-17 20:00:00",455
"2020-08-18 20:00:00",455
"2020-08-19 20:00:00",455
"2020-08-20 20:00:00",537
"2020-08-21 20:00:00",532
"2020-08-22 20:00:00",535
"2020-08-23 20:00:00",528
"2020-08-24 20:00:00",520
"2020-08-25 20:00:00",515
"2020-08-26 20:00:00",514
"2020-08-27 20:00:00",511
"2020-08-28 20:00:00",511
"2020-08-29 20:00:00",508
"2020-08-30 20:00:00",585
"2020-08-31 20:00:00",579
"2020-09-01 20:00:00",584
"2020-09-02 20:00:00",584
"2020-09-03 20:00:00",579
"2020-09-04 20:00:00",681
"2020-09-05 20:00:00",727
"2020-09-06 20:00:00",717
"2020-09-07 20:00:00",739
"2020-09-08 20:00:00",776
"2020-09-09 20:00:00",783
"2020-09-10 20:00:00",772
"2020-09-11 20:00:00",794
"2020-09-12 20:00:00",820
"2020-09-13 20:00:00",811
"2020-09-14 20:00:00",796
"2020-09-15 20:00:00",782
"2020-09-16 20:00:00",775
"2020-09-17 20:00:00",764
"2020-09-18 20:00:00",761
"2020-09-19 20:00:00",756
"2020-09-20 20:00:00",759
"2020-09-21 20:00:00",754
"2020-09-22 20:00:00",749
"2020-09-23 20:00:00",745
"2020-09-24 20:00:00",745
"2020-09-25 20:00:00",743
"2020-09-26 20:00:00",735
"2020-09-27 20:00:00",736
"2020-09-28 20:00:00",733
"2020-09-29 20:00:00",731
"2020-09-30 20:00:00",730
"2020-10-01 20:00:00",728
"2020-10-02 20:00:00",732
"2020-10-03 20:00:00",502
"2020-10-04 20:00:00",499
"2020-10-05 20:00:00",500
"2020-10-06 20:00:00",495
"2020-10-07 20:00:00",492
"2020-10-08 20:00:00",453
"2020-10-09 20:00:00",451
"2020-10-10 20:00:00",452
"2020-10-11 20:00:00",449
"2020-10-12 20:00:00",448
"2020-10-13 20:00:00",448
"2020-10-14 20:00:00",447
"2020-10-15 20:00:00",447
"2020-10-16 20:00:00",450
"2020-10-17 20:00:00",449
"2020-10-18 20:00:00",448
"2020-10-19 20:00:00",447
"2020-10-20 20:00:00",446
"2020-10-21 20:00:00",446
"2020-10-22 20:00:00",446
"2020-10-23 20:00:00",449
"2020-10-24 20:00:00",451
"2020-10-25 20:00:00",450
"2020-10-26 20:00:00",452
"2020-10-27 20:00:00",448
"2020-10-28 20:00:00",448
"2020-10-29 20:00:00",445
"2020-10-30 20:00:00",448
"2020-10-31 20:00:00",445
"2020-11-01 19:00:00",445
"2020-11-02 19:00:00",445
"2020-11-03 19:00:00",390
"2020-11-04 19:00:00",391
"2020-11-05 19:00:00",390
"2020-11-06 19:00:00",390
"2020-11-07 19:00:00",386
"2020-11-08 19:00:00",386
"2020-11-09 19:00:00",386
"2020-11-10 19:00:00",387
"2020-11-11 19:00:00",386
"2020-11-12 19:00:00",385
"2020-11-13 19:00:00",386
"2020-11-14 19:00:00",381
"2020-11-15 19:00:00",380
"2020-11-16 19:00:00",378
"2020-11-17 19:00:00",377
"2020-11-18 19:00:00",377
"2020-11-19 19:00:00",378
"2020-11-20 19:00:00",377
"2020-11-21 19:00:00",359
"2020-11-22 19:00:00",358
"2020-11-23 19:00:00",357
"2020-11-24 19:00:00",357
"2020-11-25 19:00:00",354
"2020-11-26 19:00:00",352
"2020-11-27 19:00:00",351
"2020-11-28 19:00:00",341
"2020-11-29 19:00:00",340
"2020-11-30 19:00:00",340
"2020-12-01 19:00:00",341
"2020-12-02 19:00:00",339
"2020-12-03 19:00:00",337
"2020-12-04 19:00:00",339
"2020-12-05 19:00:00",338
"2020-12-06 19:00:00",338
"2020-12-07 19:00:00",337
"2020-12-08 19:00:00",339
"2020-12-09 19:00:00",339
"2020-12-10 19:00:00",339
"2020-12-11 19:00:00",338
"2020-12-12 19:00:00",335
"2020-12-13 19:00:00",334
"2020-12-14 19:00:00",332
"2020-12-15 19:00:00",326
"2020-12-16 19:00:00",324
"2020-12-17 19:00:00",323
"2020-12-18 19:00:00",322
"2020-12-19 19:00:00",324
"2020-12-20 19:00:00",323
"2020-12-21 19:00:00",326
"2020-12-22 19:00:00",322
"2020-12-23 19:00:00",322
"2020-12-24 19:00:00",322
"2020-12-25 19:00:00",319
"2020-12-26 19:00:00",320
"2020-12-27 19:00:00",321
"2020-12-28 19:00:00",318
"2020-12-29 19:00:00",317
"2020-12-30 19:00:00",317
"2020-12-31 19:00:00",318
"2021-01-01 19:00:00",318
"2021-01-02 19:00:00",318
"2021-01-03 19:00:00",307
"2021-01-04 19:00:00",309
"2021-01-05 19:00:00",305
"2021-01-06 19:00:00",306
"2021-01-07 19:00:00",304
"2021-01-08 19:00:00",304
"2021-01-09 19:00:00",303
"2021-01-10 19:00:00",302
"2021-01-11 19:00:00",303
"2021-01-12 19:00:00",302
"2021-01-13 19:00:00",300
"2021-01-14 19:00:00",292
"2021-01-15 19:00:00",292
"2021-01-16 19:00:00",292
"2021-01-17 19:00:00",290
"2021-01-18 19:00:00",289
"2021-01-19 19:00:00",289
"2021-01-20 19:00:00",287
"2021-01-21 19:00:00",286
"2021-01-22 19:00:00",286
"2021-01-23 19:00:00",286
"2021-01-24 19:00:00",287
"2021-01-25 19:00:00",288
"2021-01-26 19:00:00",289
"2021-01-27 19:00:00",288
"2021-01-28 19:00:00",287
"2021-01-29 19:00:00",284
"2021-01-30 19:00:00",282
"2021-01-31 19:00:00",282
"2021-02-01 19:00:00",284
"2021-02-02 19:00:00",285
"2021-02-03 19:00:00",285
"2021-02-04 19:00:00",291
"2021-02-05 19:00:00",291
"2021-02-06 19:00:00",291
"2021-02-07 19:00:00",295
"2021-02-08 19:00:00",295
"2021-02-09 19:00:00",294
"2021-02-10 19:00:00",297
"2021-02-11 19:00:00",297
"2021-02-12 19:00:00",299
"2021-02-13 19:00:00",299
"2021-02-14 19:00:00",299
"2021-02-15 19:00:00",299
"2021-02-16 19:00:00",298
"2021-02-17 19:00:00",298
"2021-02-18 19:00:00",298
"2021-02-19 19:00:00",298
"2021-02-20 19:00:00",300
"2021-02-21 19:00:00",299
"2021-02-22 19:00:00",298
"2021-02-23 19:00:00",298
"2021-02-24 19:00:00",298
"2021-02-25 19:00:00",297
"2021-02-26 19:00:00",298
"2021-02-27 19:00:00",300
"2021-02-28 19:00:00",306
"2021-03-01 19:00:00",306
"2021-03-02 19:00:00",307
"2021-03-03 19:00:00",308
"2021-03-04 19:00:00",307
"2021-03-05 19:00:00",307
"2021-03-06 19:00:00",307
"2021-03-07 19:00:00",306
"2021-03-08 19:00:00",306
"2021-03-09 19:00:00",306
"2021-03-10 19:00:00",279
"2021-03-11 19:00:00",278
"2021-03-12 19:00:00",277
"2021-03-13 19:00:00",278
"2021-03-14 20:00:00",276
"2021-03-15 20:00:00",277
"2021-03-16 20:00:00",278
"2021-03-17 20:00:00",278
"2021-03-18 20:00:00",277
"2021-03-19 20:00:00",278
"2021-03-20 20:00:00",278
"2021-03-21 20:00:00",278
"2021-03-22 20:00:00",279
"2021-03-23 20:00:00",279
"2021-03-24 20:00:00",279
"2021-03-25 20:00:00",279
"2021-03-26 20:00:00",278
"2021-03-27 20:00:00",280
"2021-03-28 20:00:00",279
"2021-03-29 20:00:00",270
"2021-03-30 20:00:00",269
"2021-03-31 20:00:00",269
"2021-04-01 20:00:00",270
"2021-04-02 20:00:00",269
"2021-04-03 20:00:00",269
"2021-04-04 20:00:00",269
"2021-04-05 20:00:00",268
"2021-04-06 20:00:00",260
"2021-04-07 20:00:00",258
"2021-04-08 20:00:00",260
"2021-04-09 20:00:00",259
"2021-04-10 20:00:00",258
"2021-04-11 20:00:00",258
"2021-04-12 20:00:00",258
"2021-04-13 20:00:00",259
"2021-04-14 20:00:00",258
"2021-04-15 20:00:00",257
"2021-04-16 20:00:00",258
"2021-04-17 20:00:00",258
"2021-04-18 20:00:00",259
"2021-04-21 20:00:00",260
"2021-04-22 20:00:00",261
"2021-04-23 20:00:00",262
"2021-04-24 20:00:00",261
"2021-04-25 20:00:00",261
"2021-04-26 20:00:00",261
"2021-04-27 20:00:00",260
"2021-04-28 20:00:00",259
"2021-04-29 20:00:00",258
"2021-04-30 20:00:00",257
"2021-05-01 20:00:00",257
"2021-05-02 20:00:00",257
"2021-05-03 20:00:00",256
"2021-05-04 20:00:00",257
"2021-05-05 20:00:00",258
"2021-05-06 20:00:00",259
"2021-05-07 20:00:00",257
"2021-05-08 15:00:00",256